fk	name
2098001	BICYCLE
2105001	CAMERA
2113001	FLASH
2114001	LENS
2119001	FOREIGN COIN(S)
2121001	US COIN(S)
2122001	ART
2123001	AUTOGRAPH
2124001	DOLL
2125001	FIGURINE
2128001	STAMP
2133001	AMMUNITION
2135001	BODY ARMOR
2143001	STUNGUN
2145001	DAGGER
2146001	KNIFE
2165001	COMPUTER SYSTEM
2177001	HEADPHONES
2207001	TV
2220001	BLACK POWDER
2223001	PISTOL
2224001	RIFLE
2225001	SHOTGUN
2281001	SAFE
2332001	ANKLET
2333001	BRACELET
2336001	EARRINGS
2337001	NECKLACE
2338001	PENDANT/CHARM
2339001	RING
2340001	WATCH
2341001	BLOWER
2342001	CHAIN SAW
2345001	EDGERS
2346001	HEDGE TIMMER
2348001	MOWER
2365001	AMP
2370001	CLARINET
2375001	DRUM
2381001	PEDALS
2382001	FRENCH HORN
2383001	GUITAR
2386001	GUITAR ACOUSTIC
2387001	GUITAR/BASS
2388001	GUITAR/ELECTRIC
2392001	KEYBOARD
2397001	MICROPHONE
2400001	OBOE
2416001	TRUMPET
2420001	VIOLIN
2441001	DIVE BC
2471001	FISHING REEL
2488001	METAL DETECTOR
2522001	GRINDER
2523001	IMPACT WRENCH
2524001	NAILER
2525001	PAINT SPRAYER
2527001	RATCHET
2528001	SANDER
2530001	AC GAUGES
2534001	CALIPERS
2540001	PAINTERS
2558001	KNOCKOUT PUNCH
2562001	LEVEL
2564001	MICROMETER
2568001	PLIERS
2571001	PUNCH DRIVER
2572001	RATCHET
2585001	SOCKET
2597001	TAP & DIE SET
2609001	TORCH
2611001	TORQUE WRENCH
2620001	WRENCH
2630001	BUFFER
2634001	CHARGER
2637001	POWER SAW
2638001	DRILL
2641001	FASTENER
2644001	HAMMER DRILL
2646001	IMPACT WRENCH
2653001	NAILER
2662001	PUMP
2664001	ROUTER
2666001	SANDER
2667001	BAND SAW
2668001	CHOP SAW
2669001	CIRCULAR SAW
2671001	JIG SAW
2672001	MITER BOX SAW
2674001	RECIPROCAL SAW
2676001	TABLE SAW
2680001	SCREWGUN
2687001	WELDER
2692001	AUTOMOBILE
2701001	REVOLVER
2757001	CELL PHONES
2776001	INTERFACE
2781001	METER
2806001	TABLETS
2864001	SLUG
2877001	MAGAZINE
2888001	COMPRESSOR
2904001	PRESURE WASHER
2924001	GPS
2930001	LASER POINTER
2966001	CAR SCANNER
2969001	SPEAKERS
3000001	NIGHT VISION
3036001	PEPPER SPRAY
3039001	TROLLING
3059001	GRINDER
3066001	LIGHT
3078001	LEVEL
3100001	MUSIC BOX
3112001	MULTI TOOL
3118001	BOW
3137001	CONSOLE
3138001	CONTROLLER
3139001	GAME CD
3146001	SAXAPHONE
3243001	DETECTOR
3245001	CONCRETE SAW
3269001	LIGHT
3281001	GENERATOR
3299001	TESTER
3332001	LOCK
3361001	RECORDER
3377001	TASER
3446001	CAMERA
3455001	CHIPPING HAMMER
3468001	TILE SAW
3472001	MICROSCOPE
3498001	MORTISER
3510001	BOAT
3515001	PAINTING
3520001	WEED EATER
3554001	TOOL SET
3619001	BARREL
3626001	WORK RADIO
3642001	PAINTER
3695001	CUTTER
3700001	MILL
3710001	SCALE
3755001	SCOPE
3820001	POWER SAW
3840001	SAW
3891001	PEN/PENCIL